poliza,Exposicion,NsinMatRC,CsinMatRC,condCarne,condScore,polAntiguedad,polTipoPago,geoComunidad,vehPotencia,vehValor,vehCombustible,vehUso,vehClase,vehPuertas,vehLong,samples
357102,0.504109589041096,0,0,24,1,4,Semestral-Domiciliado,Comunidad de Madrid,105,17710,Gasolina,Particular,BERLINA,5,4263,Modelling
357107,0.00821917808219178,0,0,12,99,4,Semestral-Domiciliado,Comunidad de Madrid,130,29059,Gasolina,Particular,FAMILIAR,5,4586,Modelling
357107,0.495890410958904,0,0,12,99,4,Semestral-Domiciliado,Comunidad de Madrid,130,29059,Gasolina,Particular,FAMILIAR,5,4586,Modelling
357144,0.0164383561643836,0,0,32,2,4,Anual-Efectivo,Comunidad de Madrid,68,14834,Diesel,Particular,BERLINA,5,4030,Validation
357144,1,0,0,33,2,4,Anual-Efectivo,Comunidad de Madrid,68,14834,Diesel,Particular,BERLINA,5,4030,Modelling
357146,0.0164383561643836,0,0,34,1,4,Anual-Domiciliado,Comunidad de Madrid,116,24430.01,Diesel,Particular,BERLINA,3,4324,Modelling
357146,1,0,0,35,1,4,Anual-Domiciliado,Comunidad de Madrid,116,24430.01,Diesel,Particular,BERLINA,3,4324,Modelling
357160,0.0164383561643836,0,0,34,1,4,Anual-Efectivo,Comunidad de Madrid,82,14798.99,Gasolina,Particular,BERLINA,5,3941,Validation
357160,0.419178082191781,1,110.71,35,1,4,Anual-Efectivo,Comunidad de Madrid,82,14798.99,Gasolina,Particular,BERLINA,5,3941,Modelling
357160,0.580821917808219,0,0,35,1,4,Anual-Efectivo,Comunidad de Madrid,82,14798.99,Gasolina,Particular,BERLINA,5,3941,Validation
357195,0.0164383561643836,0,0,9,1,4,Semestral-Domiciliado,Comunidad de Madrid,100,17127,Gasolina,Particular,BERLINA,5,4300,Modelling
357195,0.495890410958904,0,0,10,1,4,Semestral-Domiciliado,Comunidad de Madrid,100,17127,Gasolina,Particular,BERLINA,5,4300,Modelling
357195,0.504109589041096,0,0,10,1,4,Semestral-Domiciliado,Comunidad de Madrid,100,17127,Gasolina,Particular,BERLINA,5,4300,Modelling
357203,0.0164383561643836,0,0,37,99,4,Anual-Domiciliado,Comunidad de Madrid,110,21871,Diesel,Particular,BERLINA,5,4302,Modelling
357203,1,0,0,38,99,4,Anual-Domiciliado,Comunidad de Madrid,110,21871,Diesel,Particular,BERLINA,5,4302,Modelling
357204,0.0164383561643836,0,0,22,2,4,Semestral-Domiciliado,Comunidad de Madrid,105,21625,Diesel,Particular,OTRO,5,4352,Modelling
357204,1,0,0,23,2,4,Semestral-Domiciliado,Comunidad de Madrid,105,21625,Diesel,Particular,OTRO,5,4352,Modelling
357225,0.0191780821917808,0,0,42,1,4,Anual-Domiciliado,Comunidad de Madrid,75,11081.25,Diesel,Particular,OTRO,5,4363,Modelling
357225,1,1,2831.98,43,1,5,Anual-Domiciliado,Comunidad de Madrid,75,11081.25,Diesel,Particular,OTRO,5,4363,Modelling
357246,0.0191780821917808,0,0,40,3,4,Anual-Efectivo,Comunidad de Madrid,85,13661,Gasolina,Particular,BERLINA,5,3995,Modelling
357246,1,1,255.55,41,3,4,Anual-Efectivo,Comunidad de Madrid,85,13661,Gasolina,Particular,BERLINA,5,3995,Validation
357308,0.0219178082191781,0,0,36,1,4,Semestral-Domiciliado,Comunidad de Madrid,105,22357,Gasolina,Particular,BERLINA,3,4237,Validation
357308,1,0,0,37,1,4,Semestral-Domiciliado,Comunidad de Madrid,105,22357,Gasolina,Particular,BERLINA,3,4237,Modelling
357326,0.0219178082191781,0,0,15,99,4,Semestral-Efectivo,Andalucía,70,15034,Diesel,Particular,BERLINA,5,3850,Modelling
357362,0.0246575342465753,0,0,23,1,4,Anual-Domiciliado,Comunidad de Madrid,115,29449,Diesel,Particular,OTRO,5,4597,Modelling
357362,1,0,0,24,1,4,Anual-Domiciliado,Comunidad de Madrid,115,29449,Diesel,Particular,OTRO,5,4597,Modelling
357373,0.0219178082191781,0,0,12,1,4,Anual-Efectivo,Comunidad de Madrid,105,21339,Diesel,Particular,BERLINA,5,4315,Modelling
357373,1,0,0,13,1,4,Anual-Efectivo,Comunidad de Madrid,105,21339,Diesel,Particular,BERLINA,5,4315,Modelling
357380,0.528767123287671,0,0,38,6,4,Semestral-Domiciliado,Comunidad de Madrid,68,15261,Diesel,Particular,BERLINA,5,3962,Validation
357380,1,0,0,39,6,5,Semestral-Domiciliado,Comunidad de Madrid,68,15261,Diesel,Particular,BERLINA,5,3962,Modelling
357425,0.0246575342465753,0,0,20,2,4,Semestral-Domiciliado,Comunidad de Madrid,110,23926,Diesel,Particular,OTRO,5,4330,Modelling
357425,0.495890410958904,0,0,20,2,4,Semestral-Domiciliado,Comunidad de Madrid,110,23926,Diesel,Particular,OTRO,5,4330,Modelling
357425,0.504109589041096,0,0,21,2,4,Semestral-Domiciliado,Comunidad de Madrid,110,23926,Diesel,Particular,OTRO,5,4330,Validation
357503,0.0246575342465753,0,0,37,1,4,Anual-Efectivo,Cataluña,117,17500,Gasolina,Particular,OTRO,5,4135,Validation
357503,1,0,0,38,1,4,Anual-Efectivo,Cataluña,117,17500,Gasolina,Particular,OTRO,5,4135,Modelling
357508,0.0246575342465753,0,0,33,2,4,Anual-Domiciliado,Comunidad de Madrid,95,15217,Diesel,Particular,BERLINA,5,4039,Modelling
357508,1,0,0,34,2,4,Anual-Domiciliado,Comunidad de Madrid,95,15217,Diesel,Particular,BERLINA,5,4039,Modelling
357511,0.0246575342465753,0,0,23,7,4,Anual-Domiciliado,Comunidad de Madrid,114,25008,Diesel,Comercial,OTRO,6,4380,Modelling
357511,1,0,0,24,7,4,Anual-Domiciliado,Comunidad de Madrid,114,25008,Diesel,Comercial,OTRO,6,4380,Modelling
357570,0.493150684931507,0,0,35,2,4,Anual-Efectivo,Comunidad de Madrid,177,43994.01,Diesel,Particular,COUPE,2,4626,Modelling
357610,0.0383561643835616,0,0,26,5,4,Semestral-Domiciliado,Comunidad de Madrid,115,21388.75,Diesel,Particular,OTRO,5,4525,Modelling
357610,1,0,0,27,5,4,Semestral-Domiciliado,Comunidad de Madrid,115,21388.75,Diesel,Particular,OTRO,5,4525,Modelling
357668,0.0356164383561644,0,0,31,99,4,Anual-Efectivo,Comunidad de Madrid,99,17325,Gasolina,Particular,BERLINA,5,3885,Modelling
357801,0.0410958904109589,0,0,17,2,4,Anual-Efectivo,Comunidad de Madrid,75,16038.01,Diesel,Comercial,OTRO,4,3864,Validation
357801,1,0,0,18,2,4,Anual-Efectivo,Comunidad de Madrid,75,16038.01,Diesel,Comercial,OTRO,4,3864,Modelling
357857,0.052054794520548,0,0,47,1,4,Anual-Domiciliado,Cataluña,100,14369,Gasolina,Particular,BERLINA,4,4399,Modelling
357857,1,0,0,48,1,4,Anual-Domiciliado,Cataluña,100,14369,Gasolina,Particular,BERLINA,4,4399,Modelling
357916,0.0438356164383562,0,0,28,1,4,Anual-Domiciliado,Comunidad de Madrid,92,18172,Diesel,Particular,OTRO,5,4159,Modelling
357916,0.956164383561644,0,0,28,1,4,Anual-Domiciliado,Comunidad de Madrid,92,18172,Diesel,Particular,OTRO,5,4159,Modelling
357916,0.0438356164383562,0,0,29,1,5,Anual-Domiciliado,Comunidad de Madrid,92,18172,Diesel,Particular,OTRO,5,4159,Validation
357918,0.0465753424657534,0,0,32,1,4,Anual-Domiciliado,Comunidad de Madrid,75,15180.76,Gasolina,Particular,BERLINA,3,3699,Modelling
357918,1,0,0,33,1,4,Anual-Domiciliado,Comunidad de Madrid,75,15180.76,Gasolina,Particular,BERLINA,3,3699,Modelling
357951,0.0438356164383562,0,0,31,1,4,Anual-Domiciliado,Comunidad de Madrid,150,43367,Diesel,Particular,OTRO,5,4365,Modelling
357951,1,0,0,32,1,4,Anual-Domiciliado,Comunidad de Madrid,150,43367,Diesel,Particular,OTRO,5,4365,Modelling
357954,0.0438356164383562,0,0,26,2,4,Anual-Efectivo,Comunidad de Madrid,68,11637,Gasolina,Particular,BERLINA,5,3440,Modelling
357954,1,1,87.26,27,2,4,Anual-Efectivo,Comunidad de Madrid,68,11637,Gasolina,Particular,BERLINA,5,3440,Validation
357962,0.0438356164383562,0,0,10,99,4,Anual-Efectivo,Comunidad de Madrid,115,21751,Diesel,Particular,BERLINA,5,4358,Modelling
357962,1,1,1378.09,11,99,4,Anual-Efectivo,Comunidad de Madrid,115,21751,Diesel,Particular,BERLINA,5,4358,Modelling
357965,0.0438356164383562,0,0,34,1,4,Anual-Efectivo,Castilla-La Mancha,110,15774,Diesel,Particular,OTRO,5,4315,Modelling
357965,1,0,0,35,1,4,Anual-Efectivo,Castilla-La Mancha,110,15774,Diesel,Particular,OTRO,5,4315,Validation
358155,0.0575342465753425,0,0,38,1,4,Anual-Domiciliado,Comunidad de Madrid,163,22112,Diesel,Particular,BERLINA,4,4603,Validation
358155,1,0,0,39,1,4,Anual-Domiciliado,Comunidad de Madrid,163,22112,Diesel,Particular,BERLINA,4,4603,Modelling
358261,0.0602739726027397,0,0,13,1,4,Anual-Efectivo,Comunidad de Madrid,90,18251,Diesel,Particular,OTRO,5,4122,Validation
358261,1,0,0,14,1,4,Anual-Efectivo,Comunidad de Madrid,90,18251,Diesel,Particular,OTRO,5,4122,Modelling
358273,0.0602739726027397,0,0,50,1,4,Semestral-Domiciliado,Comunidad de Madrid,82,14486,Gasolina,Particular,BERLINA,5,3969,Modelling
358273,0.495890410958904,0,0,51,1,4,Semestral-Domiciliado,Comunidad de Madrid,82,14486,Gasolina,Particular,BERLINA,5,3969,Modelling
358273,0.504109589041096,0,0,51,1,4,Semestral-Domiciliado,Comunidad de Madrid,82,14486,Gasolina,Particular,BERLINA,5,3969,Validation
358280,0.0602739726027397,0,0,32,1,4,Anual-Efectivo,Comunidad de Madrid,105,21655,Diesel,Particular,BERLINA,5,4315,Validation
358280,1,0,0,33,1,4,Anual-Efectivo,Comunidad de Madrid,105,21655,Diesel,Particular,BERLINA,5,4315,Modelling
358314,0.0602739726027397,0,0,33,99,4,Anual-Domiciliado,Andalucía,90,19630,Diesel,Particular,BERLINA,4,4600,Modelling
358314,0.93972602739726,0,0,33,99,4,Anual-Domiciliado,Andalucía,90,19630,Diesel,Particular,BERLINA,4,4600,Modelling
358314,0.0602739726027397,0,0,34,99,5,Anual-Domiciliado,Andalucía,90,19630,Diesel,Particular,BERLINA,4,4600,Modelling
358385,0.063013698630137,0,0,41,6,4,Anual-Efectivo,Comunidad de Madrid,125,18781,Gasolina,Particular,BERLINA,5,4358,Modelling
358385,1,0,0,42,6,4,Anual-Efectivo,Comunidad de Madrid,125,18781,Gasolina,Particular,BERLINA,5,4358,Modelling
358386,0.063013698630137,0,0,24,1,4,Anual-Domiciliado,Comunidad de Madrid,115,20907,Diesel,Particular,OTRO,5,4159,Validation
358386,1,0,0,25,1,4,Anual-Domiciliado,Comunidad de Madrid,115,20907,Diesel,Particular,OTRO,5,4159,Validation
358396,0.063013698630137,0,0,37,6,4,Anual-Efectivo,Comunidad de Madrid,75,14963,Diesel,Particular,BERLINA,5,3999,Modelling
358396,1,0,0,38,6,4,Anual-Efectivo,Comunidad de Madrid,75,14963,Diesel,Particular,BERLINA,5,3999,Modelling
358429,0.063013698630137,0,0,25,2,4,Semestral-Domiciliado,Comunidad de Madrid,78,17176,Gasolina,Particular,BERLINA,3,4063,Modelling
358429,0.545205479452055,0,0,26,2,4,Semestral-Domiciliado,Comunidad de Madrid,78,17176,Gasolina,Particular,BERLINA,3,4063,Validation
358429,0.454794520547945,0,0,26,2,4,Semestral-Domiciliado,Comunidad de Madrid,78,17176,Gasolina,Particular,BERLINA,3,4063,Modelling
358538,0.073972602739726,0,0,14,1,4,Anual-Domiciliado,Comunidad de Madrid,136,26147,Gasolina,Particular,BERLINA,5,4324,Modelling
358538,1,0,0,15,1,4,Anual-Domiciliado,Comunidad de Madrid,136,26147,Gasolina,Particular,BERLINA,5,4324,Modelling
358683,0.0767123287671233,0,0,33,2,4,Semestral-Domiciliado,Comunidad de Madrid,92,18015,Diesel,Particular,OTRO,5,4159,Modelling
358683,0.495890410958904,0,0,33,2,4,Semestral-Domiciliado,Comunidad de Madrid,92,18015,Diesel,Particular,OTRO,5,4159,Modelling
358683,0.504109589041096,0,0,34,2,4,Semestral-Domiciliado,Comunidad de Madrid,92,18015,Diesel,Particular,OTRO,5,4159,Modelling
358719,0.0904109589041096,0,0,36,7,4,Anual-Domiciliado,Comunidad de Madrid,102,17224,Gasolina,Particular,OTRO,5,4469,Validation
358719,1,1,466.75,37,7,5,Anual-Domiciliado,Comunidad de Madrid,102,17224,Gasolina,Particular,OTRO,5,4469,Modelling
358726,0.0794520547945206,0,0,14,1,4,Anual-Domiciliado,Comunidad de Madrid,82,14890,Gasolina,Particular,BERLINA,5,3962,Modelling
358726,1,0,0,15,1,4,Anual-Domiciliado,Comunidad de Madrid,82,14890,Gasolina,Particular,BERLINA,5,3962,Modelling
358732,0.0849315068493151,0,0,27,5,4,Anual-Domiciliado,Comunidad de Madrid,70,13238,Gasolina,Particular,BERLINA,5,3970,Validation
358732,1,0,0,28,5,4,Anual-Domiciliado,Comunidad de Madrid,70,13238,Gasolina,Particular,BERLINA,5,3970,Modelling
358757,0.0821917808219178,0,0,32,99,4,Anual-Efectivo,Comunidad de Madrid,92,19797,Diesel,Particular,OTRO,5,4159,Modelling
358758,1,0,0,51,2,4,Anual-Efectivo,Comunidad de Madrid,105,21270,Diesel,Particular,OTRO,5,4469,Modelling
358758,1,0,0,52,2,5,Anual-Efectivo,Comunidad de Madrid,105,21270,Diesel,Particular,OTRO,5,4469,Modelling
358760,0.0794520547945206,0,0,50,1,4,Anual-Efectivo,Comunidad de Madrid,115,23204.75,Diesel,Particular,OTRO,5,4525,Modelling
358760,1,0,0,51,1,4,Anual-Efectivo,Comunidad de Madrid,115,23204.75,Diesel,Particular,OTRO,5,4525,Modelling
358768,0.575342465753425,0,0,31,3,4,Anual-Domiciliado,Comunidad de Madrid,92,21878,Diesel,Comercial,OTRO,6,4380,Modelling
358768,0.986301369863014,0,0,32,3,5,Anual-Domiciliado,Comunidad de Madrid,92,21878,Diesel,Comercial,OTRO,6,4380,Validation
358771,0.0794520547945206,0,0,43,2,4,Anual-Efectivo,Comunidad de Madrid,68,15456,Diesel,Particular,BERLINA,5,3941,Modelling
358771,1,0,0,44,2,4,Anual-Efectivo,Comunidad de Madrid,68,15456,Diesel,Particular,BERLINA,5,3941,Validation
358814,0.0821917808219178,0,0,14,3,4,Anual-Domiciliado,Castilla-La Mancha,75,11092.18,Diesel,Comercial,OTRO,5,4363,Validation
358814,1,0,0,15,3,5,Anual-Domiciliado,Castilla-La Mancha,75,11092.18,Diesel,Comercial,OTRO,5,4363,Modelling
358870,0.0821917808219178,0,0,36,1,4,Anual-Efectivo,Cataluña,75,17443.57,Diesel,Comercial,OTRO,5,3959,Modelling
358870,0.917808219178082,0,0,37,1,4,Anual-Efectivo,Cataluña,75,17443.57,Diesel,Comercial,OTRO,5,3959,Modelling
358870,0.0821917808219178,0,0,37,1,5,Anual-Efectivo,Cataluña,75,17443.57,Diesel,Comercial,OTRO,5,3959,Modelling
358875,0.0849315068493151,0,0,22,2,4,Anual-Efectivo,Comunidad de Madrid,115,26004,Diesel,Particular,OTRO,5,4529,Modelling
358875,0.495890410958904,0,0,22,2,4,Anual-Efectivo,Comunidad de Madrid,115,26004,Diesel,Particular,OTRO,5,4529,Modelling
358875,0.504109589041096,0,0,23,2,4,Anual-Efectivo,Comunidad de Madrid,115,26004,Diesel,Particular,OTRO,5,4529,Validation
358888,0.0849315068493151,0,0,11,99,4,Anual-Efectivo,Comunidad de Madrid,68,15169,Diesel,Particular,BERLINA,5,4030,Modelling
358889,0.0821917808219178,0,0,38,7,4,Anual-Domiciliado,Comunidad de Madrid,170,38346,Diesel,Particular,BERLINA,4,4630,Modelling
358902,0.0821917808219178,0,0,33,3,4,Anual-Efectivo,Comunidad de Madrid,92,21295,Diesel,Comercial,OTRO,4,4380,Modelling
358902,1,0,0,34,3,4,Anual-Efectivo,Comunidad de Madrid,92,21295,Diesel,Comercial,OTRO,4,4380,Modelling
358915,0.586301369863014,0,0,26,99,4,Semestral-Efectivo,Comunidad de Madrid,110,19965,Diesel,Particular,BERLINA,5,4260,Modelling
358915,0.504109589041096,0,0,27,99,4,Semestral-Efectivo,Comunidad de Madrid,110,19965,Diesel,Particular,BERLINA,5,4260,Modelling
358923,0.26027397260274,1,2154.9,28,2,4,Anual-Efectivo,Comunidad de Madrid,120,32906,Diesel,Particular,OTRO,5,4661,Modelling
358923,0.73972602739726,0,0,28,2,4,Anual-Efectivo,Comunidad de Madrid,120,32906,Diesel,Particular,OTRO,5,4661,Validation
358923,0.0904109589041096,0,0,29,2,5,Anual-Efectivo,Comunidad de Madrid,120,32906,Diesel,Particular,OTRO,5,4661,Modelling
359059,0.0931506849315068,0,0,32,3,4,Semestral-Domiciliado,Comunidad de Madrid,68,13470,Gasolina,Particular,BERLINA,5,3941,Modelling
359059,1,0,0,33,3,4,Semestral-Domiciliado,Comunidad de Madrid,68,13470,Gasolina,Particular,BERLINA,5,3941,Modelling
359085,0.0931506849315068,0,0,38,2,4,Anual-Domiciliado,Cataluña,92,21269.01,Diesel,Particular,BERLINA,5,4253,Validation
359110,0.0958904109589041,0,0,13,2,4,Anual-Efectivo,Comunidad de Madrid,92,23650,Diesel,Particular,OTRO,5,4380,Modelling
359110,0.276712328767123,1,625.36,13,2,4,Anual-Efectivo,Comunidad de Madrid,92,23650,Diesel,Particular,OTRO,5,4380,Modelling
359110,0.723287671232877,0,0,14,2,4,Anual-Efectivo,Comunidad de Madrid,92,23650,Diesel,Particular,OTRO,5,4380,Validation
359118,0.0958904109589041,0,0,34,99,4,Semestral-Domiciliado,Comunidad de Madrid,75,12433,Gasolina,Particular,BERLINA,5,3920,Modelling
359118,0.495890410958904,0,0,34,99,4,Semestral-Domiciliado,Comunidad de Madrid,75,12433,Gasolina,Particular,BERLINA,5,3920,Modelling
359118,0.504109589041096,0,0,35,99,4,Semestral-Domiciliado,Comunidad de Madrid,75,12433,Gasolina,Particular,BERLINA,5,3920,Modelling
359142,0.0958904109589041,0,0,40,5,4,Anual-Domiciliado,Comunidad de Madrid,75,7625,Gasolina,Particular,BERLINA,5,4057,Modelling
359142,1,0,0,41,5,4,Anual-Domiciliado,Comunidad de Madrid,75,7625,Gasolina,Particular,BERLINA,5,4057,Modelling
359193,0.0986301369863014,0,0,38,2,4,Semestral-Efectivo,Comunidad de Madrid,130,20692,Diesel,Particular,OTRO,5,4248,Modelling
359193,1,0,0,39,2,4,Semestral-Efectivo,Comunidad de Madrid,130,20692,Diesel,Particular,OTRO,5,4248,Modelling
359210,0.0986301369863014,0,0,53,5,4,Anual-Domiciliado,Comunidad de Madrid,75,13643,Gasolina,Particular,BERLINA,5,4027,Modelling
359336,0.101369863013699,0,0,32,3,4,Anual-Efectivo,Comunidad de Madrid,105,24081,Diesel,Particular,BERLINA,3,4237,Validation
359336,1,0,0,33,3,4,Anual-Efectivo,Comunidad de Madrid,105,24081,Diesel,Particular,BERLINA,3,4237,Modelling
359387,0.101369863013699,0,0,24,1,4,Anual-Domiciliado,Comunidad de Madrid,120,19692,Gasolina,Particular,OTRO,5,4159,Modelling
359387,0.898630136986301,0,0,25,1,4,Anual-Domiciliado,Comunidad de Madrid,120,19692,Gasolina,Particular,OTRO,5,4159,Validation
359387,0.101369863013699,0,0,25,1,5,Anual-Domiciliado,Comunidad de Madrid,120,19692,Gasolina,Particular,OTRO,5,4159,Validation
359393,0.101369863013699,0,0,39,3,4,Anual-Efectivo,Comunidad de Madrid,5,13118,Diesel,Particular,OTRO,3,2980,Validation
359393,1,0,0,40,3,4,Anual-Efectivo,Comunidad de Madrid,5,13118,Diesel,Particular,OTRO,3,2980,Validation
359445,0.10958904109589,0,0,20,1,4,Anual-Efectivo,Comunidad de Madrid,117,20835,Gasolina,Particular,OTRO,5,4330,Modelling
359445,1,0,0,21,1,4,Anual-Efectivo,Comunidad de Madrid,117,20835,Gasolina,Particular,OTRO,5,4330,Modelling
359533,0.112328767123288,0,0,26,2,4,Anual-Domiciliado,Comunidad de Madrid,105,20419,Diesel,Particular,BERLINA,5,4199,Modelling
359533,0.887671232876712,0,0,26,2,4,Anual-Domiciliado,Comunidad de Madrid,105,20419,Diesel,Particular,BERLINA,5,4199,Modelling
