Identificador,Sexo,Edad,Carnet,Zona,AntiguedadVehiculo,SiniestroAnterior,PrimaMensualActual,AntiguedadCliente
350151,Desconocido,42,1,Centro,9+,Sí,213.43,8
350152,Female,37,1,Centro,3,No,227.47,18
350153,Male,44,1,Centro,4,No,184.82,21
350154,Male,44,1,Noreste,3,No,282.62,12
350155,Male,64,1,Noreste,2,Sí,30,9
350156,Female,51,1,Noreste,2,No,156.36,23
350157,Male,49,1,Noreste,3,Sí,238.91,3
350158,Female,24,1,Norte,0,No,164.2,18
350159,Male,33,1,Centro,2,Sí,30,4
350160,Female,25,1,Suroeste,1,No,192.66,22
350161,Male,28,1,Centro,3,Sí,176.27,14
350162,Male,25,1,Noreste,1,No,372.31,23
350163,Male,21,1,Suroeste,0,No,142.29,4
350164,Desconocido,Desconocido,1,Noreste,4,No,286.43,5
350165,Female,26,1,Suroeste,1,No,160.97,21
350166,Male,53,1,Centro,3,Sí,376.66,2
350167,Female,54,1,Noreste,2,No,183.44,8
350168,Female,22,1,Suroeste,0,Sí,318.74,5
350169,Male,76,1,Centro,3,No,212.82,15
350170,Male,36,1,Suroeste,2,Sí,159.33,3
350171,Male,25,1,Centro,1,No,226.94,6
350172,Male,51,1,Norte,2,Sí,30,19
350173,Male,26,1,Suroeste,0,No,440.61,19
350174,Male,66,1,Centro,2,Sí,208.92,11
350175,Male,30,1,Suroeste,1,No,188.02,4
350176,Male,24,1,Centro,1,No,174.09,12
350177,Female,36,1,Suroeste,2,No,144.45,1
350178,Female,21,1,Noreste,0,Sí,136.35,11
350179,Male,42,1,Suroeste,4,No,243.5,5
350180,Desconocido,Desconocido,1,Suroeste,1,No,203.26,2
350181,Male,22,1,Centro,1,No,105.16,23
350182,Desconocido,71,1,Suroeste,4,No,212.19,18
350183,Female,37,1,Centro,3,Sí,183.23,18
350184,Female,20,1,Centro,0,Sí,176.6,2
350185,Male,55,1,Noreste,2,Sí,168.31,11
350186,Female,21,1,Centro,3,No,30,9
350187,Male,55,1,Centro,3,Sí,262.92,19
350188,Male,49,1,Noreste,4,No,30,17
350189,Female,32,1,Suroeste,1,No,248.06,18
350190,Female,52,1,Centro,3,No,256.05,6
350191,Female,26,1,Suroeste,0,No,155.97,20
350192,Female,53,1,Centro,3,Sí,322.74,11
350193,Female,67,1,Noreste,4,Sí,233.4,5
350194,Male,45,1,Suroeste,4,No,231.44,19
350195,Female,61,1,Centro,4,No,354.77,3
350196,Male,44,1,Norte,3,Sí,210.03,9
350197,Female,43,1,Centro,3,Sí,177.75,24
350198,Female,30,1,Suroeste,1,No,30,3
350199,Male,45,1,Suroeste,2,No,194.76,5
350200,Male,55,1,Suroeste,3,Sí,190.9,7
350201,Female,71,1,Centro,8,Sí,203.03,10
350202,Male,26,1,Noreste,1,No,296.42,10
350203,Male,26,1,Centro,1,Sí,180.31,10
350204,Male,45,1,Noreste,3,Sí,30,17
350205,Male,54,1,Centro,3,Sí,230.25,10
350206,Female,25,1,Norte,0,Sí,254.16,4
350207,Desconocido,Desconocido,1,Centro,1,No,345.01,9
350208,Female,40,1,Centro,4,Sí,30,7
350209,Female,40,1,Suroeste,2,Sí,182.18,8
350210,Female,24,1,Centro,1,No,119.9,9
350211,Male,24,1,Norte,1,Sí,182.56,16
350212,Male,56,1,Noreste,3,Sí,272.66,24
350213,Female,38,1,Centro,5,Sí,249.47,2
350214,Desconocido,Desconocido,1,Centro,4,Sí,361.45,13
350215,Female,76,1,Suroeste,3,Sí,245.59,22
350216,Male,57,1,Centro,3,Sí,154.28,8
350217,Female,41,1,Centro,4,Sí,230.14,3
350218,Male,68,1,Centro,4,No,224.93,11
350219,Female,39,1,Suroeste,4,No,30,6
350220,Female,21,1,Centro,0,Sí,108.19,8
350221,Desconocido,Desconocido,1,Norte,1,No,277.66,4
350222,Female,24,1,Noreste,1,No,407.31,2
350223,Female,33,1,Suroeste,1,No,192.9,14
350224,Male,22,1,Centro,1,No,190.45,16
350225,Desconocido,39,1,Centro,4,No,182.71,7
350226,Female,20,1,Norte,0,Sí,123.4,8
350227,Female,48,1,Centro,4,Sí,343.01,9
350228,Male,31,1,Centro,0,Sí,281.16,14
350229,Male,38,1,Centro,2,Sí,412.6,6
350230,Male,68,1,Centro,2,Sí,30,23
350231,Female,39,1,Noreste,3,No,169.78,10
350232,Male,55,1,Norte,2,No,206.88,7
350233,Female,23,1,Norte,1,Sí,176.07,14
350234,Male,59,1,Centro,2,Sí,182.42,22
350235,Desconocido,41,1,Centro,4,No,216.35,20
350236,Female,23,1,Norte,0,No,168.31,3
350237,Male,43,1,Noreste,8,Sí,177.58,6
350238,Male,23,1,Centro,0,No,209.32,4
350239,Female,24,1,Suroeste,0,No,160.57,19
350240,Female,40,1,Centro,4,Sí,30,14
350241,Male,49,1,Norte,4,No,378.15,23
350242,Female,27,1,Suroeste,1,Sí,30,12
350243,Female,26,1,Suroeste,0,No,133.11,11
350244,Female,41,1,Centro,2,Sí,226.9,11
350245,Male,51,1,Centro,2,Sí,288.38,11
350246,Male,38,1,Norte,2,Sí,143.06,23
350247,Male,47,1,Suroeste,0,No,30,18
350248,Desconocido,Desconocido,1,Suroeste,1,Sí,238.02,6
350249,Female,24,1,Suroeste,1,No,30,8
350250,Male,50,1,Norte,4,Sí,322.85,4
350251,Male,42,1,Centro,2,No,206.11,20
350252,Female,49,1,Norte,3,Sí,158.85,18
350253,Male,28,1,Noreste,1,No,162.36,21
350254,Male,45,1,Centro,2,Sí,372,19
350255,Female,21,1,Centro,0,Sí,212.96,7
350256,Female,22,1,Suroeste,1,No,148.31,17
350257,Female,20,1,Suroeste,1,Sí,30,7
350258,Male,48,1,Centro,4,Sí,236.52,14
350259,Male,24,1,Centro,0,No,311.59,9
350260,Female,47,1,Centro,4,Sí,288.75,3
350261,Male,56,1,Centro,4,No,216.65,12
350262,Female,42,1,Suroeste,2,No,202.34,24
350263,Female,22,1,Centro,1,Sí,519.55,22
350264,Male,78,1,Centro,3,Sí,296.35,1
350265,Female,56,1,Suroeste,4,Sí,30,15
350266,Female,22,1,Suroeste,1,No,162.24,4
350267,Female,22,1,Noreste,0,No,300.31,19
350268,Female,26,1,Norte,0,No,30,13
350269,Male,23,1,Noreste,0,No,30,20
350270,Male,28,1,Suroeste,1,No,223.59,23
350271,Male,70,1,Centro,3,Sí,177.26,6
350272,Female,78,1,Centro,8,Sí,256.09,16
350273,Desconocido,22,1,Noreste,1,No,235.85,19
350274,Male,50,1,Suroeste,3,Sí,198.15,21
350275,Male,40,1,Suroeste,3,Sí,206.65,19
350276,Female,38,1,Suroeste,4,No,251.15,23
350277,Male,40,1,Centro,3,Sí,378.57,7
350278,Male,27,1,Noreste,1,No,239.98,6
350279,Male,59,1,Norte,3,No,149.24,20
350280,Male,23,1,Norte,1,Sí,243.18,24
350281,Desconocido,Desconocido,1,Centro,4,No,224.35,4
350282,Male,25,1,Centro,1,No,308.89,14
350283,Male,36,1,Centro,4,Sí,222.06,7
350284,Female,48,1,Centro,4,Sí,352.21,17
350285,Male,62,1,Suroeste,3,Sí,235.2,14
350286,Female,25,1,Suroeste,0,No,281.76,20
350287,Female,22,1,Centro,0,No,232.95,4
350288,Female,56,1,Noreste,2,Sí,168.95,15
350289,Male,32,1,Centro,3,No,206.16,12
350290,Male,24,1,Suroeste,1,No,113.18,13
350291,Male,22,1,Norte,0,Sí,30,24
350292,Female,30,1,Noreste,0,No,30,20
350293,Female,40,1,Centro,4,Sí,186.16,17
350294,Male,68,1,Suroeste,2,No,149.36,25
350295,Female,30,1,Suroeste,1,No,160.72,11
350296,Female,23,1,Centro,1,No,30,14
350297,Desconocido,Desconocido,1,Centro,4,No,311.54,5
350298,Male,24,1,Centro,1,Sí,302.88,25
350299,Male,40,1,Noreste,3,No,225.33,22
350300,Male,44,1,Noreste,4,Sí,316.51,20
350301,Female,42,1,Centro,4,Sí,243.7,16
350302,Female,45,1,Centro,4,Sí,213.61,2
350303,Female,36,1,Suroeste,3,Sí,230.29,21
350304,Female,28,1,Suroeste,1,No,203.48,8
350305,Male,62,1,Centro,6,Sí,248.12,13
350306,Female,67,1,Centro,6,Sí,148.61,7
350307,Male,41,1,Centro,2,Sí,174.51,3
350308,Male,49,1,Suroeste,4,Sí,143.73,24
350309,Female,72,1,Centro,3,No,272.06,25
350310,Female,25,1,Suroeste,1,No,153.59,20
350311,Female,52,1,Norte,4,Sí,30,24
350312,Male,28,1,Norte,1,No,291.57,8
350313,Male,46,1,Centro,2,No,312.35,21
350314,Female,24,1,Suroeste,0,No,172.07,18
350315,Female,56,1,Suroeste,2,No,222.21,23
350316,Male,43,1,Noreste,2,Sí,203.97,3
350317,Female,28,1,Centro,3,Sí,317.76,19
350318,Female,68,1,Centro,8,Sí,30,25
350319,Male,50,1,Centro,2,No,307.81,8
350320,Female,24,1,Suroeste,1,No,159.73,25
350321,Female,41,1,Centro,2,Sí,335.49,7
350322,Male,48,1,Norte,2,Sí,30,12
350323,Female,42,1,Centro,2,Sí,182.34,24
350324,Female,25,1,Noreste,0,No,208.44,21
350325,Female,69,1,Suroeste,2,Sí,209.38,25
350326,Female,45,1,Centro,3,No,177.59,1
350327,Male,59,1,Centro,2,No,281.53,22
350328,Male,39,1,Centro,3,Sí,265.05,20
350329,Male,45,1,Noreste,3,Sí,163.59,18
350330,Male,26,1,Suroeste,0,No,122.26,15
350331,Female,40,1,Noreste,3,Sí,171.11,3
350332,Male,24,1,Norte,1,No,336.18,16
350333,Female,58,1,Norte,2,Sí,221.86,23
350334,Female,27,1,Norte,1,No,214.62,20
350335,Female,24,1,Noreste,1,No,355.42,25
350336,Female,66,1,Noreste,4,No,310.27,3
350337,Male,21,1,Noreste,0,Sí,198.87,16
350338,Male,59,1,Centro,2,Sí,205.56,24
350339,Male,70,1,Centro,4,Sí,290.27,10
350340,Desconocido,Desconocido,1,Centro,1,No,480.8,17
350341,Male,58,1,Centro,4,No,379.69,10
350342,Male,27,1,Centro,1,No,310.78,11
350343,Female,69,1,Centro,2,Sí,367.47,20
350344,Female,26,1,Norte,1,No,141.93,11
350345,Female,23,1,Suroeste,1,Sí,169.72,4
350346,Male,53,1,Centro,2,No,203.59,15
350347,Male,45,1,Noreste,2,No,30,6
350348,Male,42,1,Centro,4,Sí,196.64,13
350349,Female,24,1,Centro,0,No,391.48,4
350350,Female,25,1,Norte,1,Sí,248.78,3
350351,Male,42,1,Centro,4,No,169.83,24
350352,Male,26,1,Norte,1,No,197.25,18
350353,Male,25,1,Noreste,0,No,162.5,11
350354,Male,21,1,Noreste,0,No,161.9,15
350355,Female,50,1,Suroeste,4,No,189.27,25
350356,Female,65,1,Centro,2,Sí,245.57,8
350357,Male,22,1,Centro,1,Sí,30,5
350358,Female,26,1,Suroeste,0,No,206.18,17
350359,Female,28,1,Noreste,4,Sí,202.5,11
350360,Male,52,1,Norte,4,Sí,30,14
350361,Female,65,1,Noreste,4,Sí,174.31,12
350362,Female,80,1,Noreste,3,Sí,176.62,5
350363,Desconocido,Desconocido,1,Suroeste,4,Sí,145.59,19
350364,Male,53,1,Suroeste,3,Sí,191.76,21
350365,Male,43,1,Norte,2,Sí,30,1
350366,Female,54,1,Noreste,2,No,256.21,18
350367,Male,32,1,Centro,1,No,136.34,17
350368,Female,28,1,Suroeste,1,No,188.44,8
350369,Female,34,1,Suroeste,2,No,30,17
350370,Female,41,1,Suroeste,4,Sí,218.05,2
350371,Male,56,1,Centro,2,Sí,30,21
350372,Male,44,1,Suroeste,3,Sí,195.32,16
350373,Male,68,1,Centro,2,Sí,259.92,1
350374,Male,55,0,Noreste,2,Sí,251.86,19
350375,Male,22,1,Suroeste,1,Sí,213.53,17
350376,Female,71,1,Centro,3,Sí,174.97,11
350377,Female,22,1,Norte,1,No,175.29,15
350378,Female,53,1,Noreste,3,Sí,30,18
350379,Female,20,1,Centro,1,Sí,115.91,2
350380,Female,23,1,Centro,1,No,247.66,9
350381,Female,29,1,Suroeste,0,No,168.19,25
350382,Male,23,1,Centro,0,Sí,149.53,20
350383,Female,56,1,Noreste,4,No,127.25,4
350384,Female,42,1,Suroeste,4,Sí,126.57,24
350385,Male,25,1,Noreste,0,No,259.45,22
350386,Female,26,1,Suroeste,0,No,154.07,21
350387,Female,57,1,Centro,6,Sí,235.04,17
350388,Female,26,1,Centro,1,Sí,248.42,18
350389,Male,51,1,Centro,8,Sí,331.26,4
350390,Female,29,1,Centro,0,No,191.68,19
350391,Male,44,1,Norte,5,Sí,30,19
350392,Male,53,1,Centro,3,No,30,18
350393,Female,26,1,Centro,0,No,249.04,3
350394,Female,27,1,Centro,1,Sí,264.1,10
350395,Female,31,1,Suroeste,1,No,238.32,20
350396,Male,23,1,Centro,0,No,163.22,24
350397,Female,23,1,Norte,0,Sí,180.08,5
350398,Male,38,1,Noreste,3,Sí,149.31,13
350399,Male,49,1,Centro,4,Sí,255.7,4
350400,Female,44,1,Centro,2,Sí,183.11,24
350401,Female,24,1,Centro,1,No,144.56,15
350402,Female,43,1,Centro,3,No,245.55,13
350403,Female,51,1,Centro,3,No,342.08,9
350404,Male,48,1,Centro,4,Sí,239.99,18
350405,Female,21,1,Noreste,0,No,238.57,2
350406,Male,57,1,Centro,4,Sí,304.07,9
350407,Male,55,1,Norte,3,Sí,30,20
350408,Male,26,1,Suroeste,1,No,110.5,9
350409,Female,23,1,Suroeste,0,No,139.94,14
350410,Male,25,1,Suroeste,1,No,30,5
350411,Female,73,1,Centro,2,Sí,311.22,19
350412,Male,37,1,Norte,2,Sí,204.34,9
350413,Female,27,1,Norte,0,No,30,16
350414,Female,24,1,Noreste,1,Sí,178.61,12
350415,Male,67,1,Centro,0,Sí,307.86,8
350416,Male,79,1,Norte,4,No,30,2
350417,Female,45,1,Centro,2,Sí,30,14
350418,Desconocido,Desconocido,1,Centro,4,Sí,30,15
350419,Desconocido,Desconocido,1,Suroeste,4,Sí,178.41,23
350420,Desconocido,Desconocido,1,Noreste,4,No,264.67,18
350421,Desconocido,Desconocido,1,Norte,1,No,30,8
350422,Male,24,1,Norte,0,No,183.97,4
350423,Male,66,1,Centro,3,No,183.36,10
350424,Male,45,1,Noreste,9+,Sí,30,7
350425,Female,44,1,Norte,3,Sí,30,4
350426,Female,25,1,Centro,0,No,200.82,9
350427,Female,21,1,Centro,1,No,209.59,20
350428,Male,60,1,Norte,3,Sí,30,13
350429,Male,33,1,Noreste,0,No,215.87,2
350430,Male,47,1,Centro,2,Sí,368.55,25
350431,Female,29,1,Centro,0,No,270.19,23
350432,Female,37,1,Centro,3,Sí,283.52,6
350433,Female,24,1,Norte,1,No,203.11,12
350434,Male,64,1,Norte,2,No,30,12
350435,Female,26,1,Noreste,1,No,218.29,17
350436,Female,22,1,Norte,1,No,284.92,5
350437,Female,25,1,Noreste,1,Sí,119.82,19
350438,Male,80,1,Centro,3,No,222.29,18
350439,Male,32,1,Norte,0,Sí,30,19
350440,Female,47,1,Centro,4,Sí,30,19
350441,Male,35,1,Suroeste,2,No,127.8,5
350442,Male,24,1,Noreste,0,No,206.5,4
350443,Male,21,1,Norte,1,Sí,218.74,16
350444,Male,44,1,Norte,4,No,30,9
350445,Female,31,1,Norte,1,No,30,8
350446,Desconocido,Desconocido,1,Centro,4,Sí,212.61,3
350447,Female,21,1,Norte,1,No,210.95,15
350448,Male,21,1,Noreste,1,Sí,316.18,14
350449,Female,42,1,Norte,3,No,178.99,21
350450,Desconocido,Desconocido,1,Norte,4,Sí,30,24
350451,Male,23,1,Suroeste,1,Sí,157.8,8
350452,Female,53,1,Centro,4,No,269.75,3
350453,Female,44,1,Centro,2,Sí,212.56,22
350454,Female,25,1,Centro,0,No,140.38,16
350455,Male,35,1,Centro,2,No,310.65,9
350456,Male,57,1,Norte,4,No,244.88,1
350457,Female,67,1,Centro,2,Sí,183.7,23
350458,Female,63,1,Noreste,6,Sí,214.69,16
350459,Male,30,1,Norte,0,Sí,30,7
350460,Male,46,1,Suroeste,3,Sí,187.99,10
350461,Female,26,1,Suroeste,1,No,159.79,18
350462,Male,42,1,Noreste,4,No,201.21,22
350463,Female,34,1,Suroeste,3,No,251.71,24
350464,Male,77,1,Centro,3,Sí,207.68,16
350465,Male,47,1,Noreste,2,No,227.04,5
350466,Female,31,1,Noreste,0,No,143.91,14
350467,Male,22,1,Centro,0,Sí,337.47,2
350468,Male,24,1,Centro,0,No,171.82,20
350469,Male,34,1,Suroeste,3,Sí,161.83,9
350470,Male,39,1,Suroeste,3,Sí,142.78,19
350471,Female,21,1,Noreste,0,Sí,106.91,25
350472,Male,23,1,Suroeste,0,No,129.38,8
350473,Female,23,1,Suroeste,0,No,213.53,20
350474,Male,24,1,Noreste,1,No,141.99,4
350475,Female,21,1,Noreste,0,No,300.19,16
350476,Female,22,1,Suroeste,0,No,169.25,22
350477,Male,40,1,Suroeste,3,No,182.5,9
350478,Female,61,1,Suroeste,4,No,227.75,16
350479,Male,24,1,Centro,0,Sí,162.92,13
350480,Female,25,1,Suroeste,1,No,169.75,5
350481,Female,62,1,Noreste,4,Sí,30,18
350482,Male,42,1,Centro,7,Sí,339.74,8
350483,Female,21,1,Suroeste,1,No,176.39,14
350484,Desconocido,50,1,Noreste,4,No,229.7,21
350485,Female,58,1,Noreste,4,Sí,219.45,18
350486,Female,27,1,Centro,1,No,164.93,13
350487,Male,27,1,Norte,1,Sí,209.92,12
350488,Female,40,1,Centro,2,No,353.94,15
350489,Female,22,1,Suroeste,1,No,170.86,25
350490,Male,45,1,Norte,4,No,190.52,13
350491,Male,56,1,Norte,3,Sí,138.59,25
350492,Male,55,1,Noreste,3,No,30,19
350493,Male,32,1,Centro,1,Sí,130.59,8
350494,Male,53,1,Suroeste,4,Sí,251.99,17
350495,Female,32,1,Noreste,0,Sí,182.11,19
350496,Female,23,1,Noreste,1,No,132.13,16
350497,Male,28,1,Suroeste,0,No,30,9
350498,Male,24,1,Noreste,1,No,188.58,10
350499,Male,24,1,Noreste,0,No,188.46,4
350500,Male,67,1,Centro,2,Sí,177.82,16
350501,Female,55,1,Noreste,2,Sí,30,5
350502,Male,78,1,Centro,2,No,170.86,16
350503,Female,44,1,Noreste,3,Sí,335.99,20
350504,Female,24,0,Suroeste,0,No,139.18,17
350505,Male,22,1,Suroeste,1,No,269.63,10
350506,Male,24,1,Noreste,0,No,111.67,1
350507,Male,24,1,Noreste,1,No,201.77,22
350508,Male,62,1,Noreste,8,Sí,217.28,8
350509,Female,47,1,Centro,4,Sí,271.04,24
350510,Male,51,1,Centro,3,Sí,30,13
350511,Female,68,1,Noreste,3,Sí,172.5,8
350512,Male,45,1,Centro,3,Sí,243.69,6
350513,Male,40,1,Centro,2,Sí,189.08,6
350514,Desconocido,Desconocido,1,Noreste,1,Sí,220.94,9
350515,Female,41,1,Norte,4,No,30,6
350516,Female,41,1,Norte,2,Sí,30,7
350517,Male,22,1,Centro,0,Sí,220.25,4
350518,Female,22,1,Noreste,1,No,217.45,23
350519,Female,42,1,Centro,2,No,174.39,7
350520,Male,36,1,Norte,3,Sí,415.77,15
350521,Male,23,1,Noreste,1,No,137.43,2
350522,Female,52,1,Suroeste,2,No,276.99,25
350523,Male,49,1,Noreste,4,Sí,140.92,3
350524,Female,26,1,Centro,0,No,30,3
350525,Female,36,1,Centro,4,No,201.73,7
350526,Male,21,1,Noreste,0,No,352.96,22
350527,Male,45,1,Centro,3,Sí,227.46,4
350528,Female,49,1,Centro,4,Sí,198.21,17
350529,Female,21,1,Suroeste,0,Sí,159.98,21
350530,Female,24,1,Suroeste,1,No,121.13,12
350531,Male,53,1,Suroeste,4,Sí,30,8
350532,Male,23,1,Centro,1,No,30,16
350533,Male,23,1,Suroeste,0,No,130.4,10
350534,Female,23,1,Suroeste,1,No,330.85,4
350535,Male,23,1,Suroeste,0,Sí,187.24,11
350536,Female,47,1,Norte,2,No,192.78,6
350537,Female,20,1,Centro,1,Sí,201.97,16
350538,Female,27,1,Suroeste,1,No,142.26,13
